Title,Year
The Shawshank Redemption,1994
The Godfather,1972
The Dark Knight,2008
The Godfather Part II,1974
12 Angry Men,1957
The Lord of the Rings: The Return of the King,2003
Schindler's List,1993
The Lord of the Rings: The Fellowship of the Ring,2001
Pulp Fiction,1994
"The Good, the Bad and the Ugly",1966
The Lord of the Rings: The Two Towers,2002
Forrest Gump,1994
Fight Club,1999
Inception,2010
Star Wars: Episode V - The Empire Strikes Back,1980
The Matrix,1999
Goodfellas,1990
Interstellar,2014
One Flew Over the Cuckoo's Nest,1975
Se7en,1995
It's a Wonderful Life,1946
The Silence of the Lambs,1991
Seven Samurai,1954
Saving Private Ryan,1998
The Green Mile,1999
City of God,2002
Life Is Beautiful,1997
Terminator 2: Judgment Day,1991
Star Wars: Episode IV - A New Hope,1977
Back to the Future,1985
Spirited Away,2001
The Pianist,2002
Gladiator,2000
Parasite,2019
Grave of the Fireflies,1988
Psycho,1960
The Lion King,1994
Harakiri,1962
The Departed,2006
Whiplash,2014
The Prestige,2006
American History X,1998
Léon: The Professional,1994
Spider-Man: Across the Spider-Verse,2023
Cinema Paradiso,1988
Casablanca,1942
The Intouchables,2011
The Usual Suspects,1995
Alien,1979
Django Unchained,2012
Modern Times,1936
Rear Window,1954
Once Upon a Time in the West,1968
City Lights,1931
Apocalypse Now,1979
WALL·E,2008
Memento,2000
Dune: Part Two,2024
Raiders of the Lost Ark,1981
Avengers: Infinity War,2018
The Lives of Others,2006
Spider-Man: Into the Spider-Verse,2018
Sunset Boulevard,1950
Witness for the Prosecution,1957
Paths of Glory,1957
The Shining,1980
The Great Dictator,1940
Inglourious Basterds,2009
12th Fail,2023
Aliens,1986
High and Low,1963
The Dark Knight Rises,2012
Avengers: Endgame,2019
Good Will Hunting,1997
Coco,2017
Amadeus,1984
Toy Story,1995
Your Name.,2016
Das Boot,1981
Oldboy,2003
Braveheart,1995
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Princess Mononoke,1997
3 Idiots,2009
American Beauty,1999
Capernaum,2018
Singin' in the Rain,1952
Joker,2019
Once Upon a Time in America,1984
Come and See,1985
Star Wars: Episode VI - Return of the Jedi,1983
Requiem for a Dream,2000
Toy Story 3,2010
Ikiru,1952
The Hunt,2012
Incendies,2010
Eternal Sunshine of the Spotless Mind,2004
The Apartment,1960
Lawrence of Arabia,1962
2001: A Space Odyssey,1968
Reservoir Dogs,1992
Heat,1995
Scarface,1983
Double Indemnity,1944
Up,2009
North by Northwest,1959
Like Stars on Earth,2007
Full Metal Jacket,1987
M,1931
Citizen Kane,1941
Amélie,2001
Vertigo,1958
A Separation,2011
Die Hard,1988
To Kill a Mockingbird,1962
The Sting,1973
Indiana Jones and the Last Crusade,1989
A Clockwork Orange,1971
Metropolis,1927
1917,2019
Snatch,2000
L.A. Confidential,1997
Downfall,2004
The Wolf of Wall Street,2013
Dangal,2016
Bicycle Thieves,1948
The Truman Show,1998
Oppenheimer,2023
Green Book,2018
Shutter Island,2010
Judgment at Nuremberg,1961
Batman Begins,2005
Hamilton,2020
For a Few Dollars More,1965
Taxi Driver,1976
Jurassic Park,1993
Some Like It Hot,1959
There Will Be Blood,2007
The Kid,1921
The Father,2020
All About Eve,1950
The Sixth Sense,1999
Ran,1985
Casino,1995
No Country for Old Men,2007
The Thing,1982
Top Gun: Maverick,2022
Prisoners,2013
Kill Bill: Vol. 1,2003
Pan's Labyrinth,2006
Unforgiven,1992
A Beautiful Mind,2001
The Treasure of the Sierra Madre,1948
Howl's Moving Castle,2004
Finding Nemo,2003
Yojimbo,1961
Klaus,2019
The Great Escape,1963
The Elephant Man,1980
Monty Python and the Holy Grail,1975
The Best of Youth,2003
Dial M for Murder,1954
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025
Gone with the Wind,1939
The Secret in Their Eyes,2009
Chinatown,1974
"Lock, Stock and Two Smoking Barrels",1998
V for Vendetta,2005
The Chaos Class Failed the Class,1975
Catch Me If You Can,2002
Inside Out,2015
Rashomon,1950
"Three Billboards Outside Ebbing, Missouri",2017
Trainspotting,1996
The Bridge on the River Kwai,1957
Harry Potter and the Deathly Hallows: Part 2,2011
Dead Poets Society,1989
The Wild Robot,2024
Warrior,2011
Fargo,1996
Barry Lyndon,1975
Raging Bull,1980
Ben-Hur,1959
Million Dollar Baby,2004
Mad Max: Fury Road,2015
Children of Heaven,1997
Hacksaw Ridge,2016
Gran Torino,2008
My Neighbor Totoro,1988
12 Years a Slave,2013
The Grand Budapest Hotel,2014
Ratatouille,2007
Before Sunrise,1995
Blade Runner,1982
Memories of Murder,2003
How to Train Your Dragon,2010
Spider-Man: No Way Home,2021
Gone Girl,2014
"Monsters, Inc.",2001
Jaws,1975
In the Name of the Father,1993
Ford v Ferrari,2019
Wild Tales,2014
The Gold Rush,1925
Mary and Max,2009
Sherlock Jr.,1924
The Deer Hunter,1978
The Wages of Fear,1953
The General,1926
Logan,2017
Rocky,1976
Mr. Smith Goes to Washington,1939
On the Waterfront,1954
Tokyo Story,1953
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Wild Strawberries,1957
Spotlight,2015
La haine,1995
A Silent Voice: The Movie,2016
The Third Man,1949
The Terminator,1984
Maharaja,2024
The Sound of Music,1965
Jai Bhim,2021
The Big Lebowski,1998
The Best Years of Our Lives,1946
The Seventh Seal,1957
Room,2015
Before Sunset,2004
Hotel Rwanda,2004
Chainsaw Man - The Movie: Reze Arc,2025
Platoon,1986
The Incredibles,2004
Hachi: A Dog's Tale,2009
The Exorcist,1973
Rush,2013
The Wizard of Oz,1939
Stand by Me,1986
The Iron Giant,1999
The Passion of Joan of Arc,1928
My Father and My Son,2005
The Battle of Algiers,1966
The Handmaiden,2016
Network,1976
To Be or Not to Be,1942
Gangs of Wasseypur,2012
Drishyam,2015
The Grapes of Wrath,1940
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020
The Help,2011
